# 1.76 怪物 -> Crystal 精灵图。第四列是依据，见 Packs/mir-176/README.md 的 Monsters 段。
# crystalm2   同名记录，拿 39 个坐标锚点验过 31/33
# variant     去掉数字后缀后命中同名记录
# derived:X   由名字拆解推出，跟 X 用同一张图，未经确认
# appr:X       1.76 的 Monster.Appr 与 X 相同，沿用 X 的精灵图（1.76 里两者本就同一外观）
# appr-run    Appr 连号段与 Image 连号段对齐后外推，并渲图确认
# visual      渲出候选精灵图逐一比对后判定
# unresolved  没有依据，等人工指定；留空即排除出本包
# 名字	贴图	英文名	依据
僵尸30	70	ClZombie	crystalm2
僵尸4	71	NdZombie	crystalm2
僵尸40	71	NdZombie	crystalm2
僵尸5	72	CrawlerZombie	crystalm2
僵尸50	72	CrawlerZombie	crystalm2
巨型蠕虫	36	GiantWorm	crystalm2
巨型蠕虫0	36	GiantWorm	crystalm2
巨型蠕虫8	36	GiantWorm	crystalm2
暗黑战士	385	DarkWraith	crystalm2
暗黑战士0	385	DarkWraith	crystalm2
粪虫	27	Dung	crystalm2
粪虫0	27	Dung	crystalm2
蜈蚣	37	Centipede	crystalm2
蜈蚣0	37	Centipede	crystalm2
蜈蚣8	37	Centipede	crystalm2
蜜蜂	19		appr:蝙蝠
跳跳蜂	35	WhimperingBee	crystalm2
跳跳蜂0	35	WhimperingBee	crystalm2
跳跳蜂8	35	WhimperingBee	crystalm2
巨型多角虫	107	GiantKeratoid	crystalm2
巨型多角虫1	107	GiantKeratoid	crystalm2
巨型多角虫2	107	GiantKeratoid	crystalm2
半兽勇士	18	OmaWarrior	crystalm2
半兽勇士8	18	OmaWarrior	crystalm2
半兽勇士9	18	OmaWarrior	crystalm2
恶灵僵尸	87	RoninGhoul	crystalm2
恶灵僵尸0	87	RoninGhoul	crystalm2
恶灵僵尸8	87	RoninGhoul	crystalm2
黑色恶蛆	38	BlackMaggot	crystalm2
黑色恶蛆0	38	BlackMaggot	crystalm2
黑色恶蛆8	38	BlackMaggot	crystalm2
沃玛勇士	30	WoomaFighter	crystalm2
沃玛勇士0	30	WoomaFighter	crystalm2
沃玛勇士8	30	WoomaFighter	crystalm2
沃玛战士	29	WoomaSoldier	crystalm2
沃玛战士0	29	WoomaSoldier	crystalm2
沃玛战士8	29	WoomaSoldier	crystalm2
沃玛战将	31	WoomaWarrior	crystalm2
沃玛战将0	31	WoomaWarrior	crystalm2
沃玛战将8	31	WoomaWarrior	crystalm2
角蝇	43	BugBatMaggot	crystalm2
角蝇8	43	BugBatMaggot	crystalm2
火焰沃玛	32	FlamingWooma	crystalm2
火焰沃玛0	32	FlamingWooma	crystalm2
火焰沃玛2	32	FlamingWooma	crystalm2
火焰沃玛8	32	FlamingWooma	crystalm2
钳虫	39	Tongs	crystalm2
钳虫0	39	Tongs	crystalm2
钳虫8	39	Tongs	crystalm2
楔蛾	44	WedgeMoth	crystalm2
楔蛾8	44	WedgeMoth	crystalm2
牛头魔	94	Minotaur	proposed
牛头魔0	94	Minotaur	proposed
神兽	79	Shinsu	crystalm2
神兽1	80	Shinsu1	crystalm2
红野猪	45	RedBoar	crystalm2
红野猪0	45	RedBoar	crystalm2
红野猪8	45	RedBoar	crystalm2
雕	108		appr:猎鹰
骷髅弓箭手	92	BoneArcher	crystalm2
骷髅弓箭手0	92	BoneArcher	crystalm2
骷髅弓箭手8	92	BoneArcher	crystalm2
骷髅长枪兵	90	BoneSpearman	crystalm2
骷髅长枪兵0	90	BoneSpearman	crystalm2
骷髅长枪兵8	90	BoneSpearman	crystalm2
牛魔战士	95	IceMinotaur	proposed
牛魔战士0	95	IceMinotaur	proposed
宝箱	164	Treasurebox	crystalm2
宝箱1	164	Treasurebox	crystalm2
宝箱2	164	Treasurebox	crystalm2
宝箱3	164	Treasurebox	crystalm2
宝箱4	164	Treasurebox	crystalm2
宝箱5	164	Treasurebox	crystalm2
宝箱6	164	Treasurebox	crystalm2
宝箱7	164	Treasurebox	crystalm2
宝箱8	164	Treasurebox	crystalm2
恶灵尸王	88	ToxicGhoul	crystalm2
恶灵尸王0	88	ToxicGhoul	crystalm2
恶灵尸王8	88	ToxicGhoul	crystalm2
蝎蛇	47	SnakeScorpion	crystalm2
蝎蛇0	47	SnakeScorpion	crystalm2
蝎蛇8	47	SnakeScorpion	crystalm2
骷髅刀斧手	91	BoneBlademan	crystalm2
骷髅刀斧手0	91	BoneBlademan	crystalm2
骷髅刀斧手8	91	BoneBlademan	crystalm2
骷髅锤兵	89	BoneCaptain	proposed
骷髅锤兵0	89	BoneCaptain	proposed
骷髅锤兵8	89	BoneCaptain	proposed
黑野猪	46	BlackBoar	crystalm2
黑野猪0	46	BlackBoar	crystalm2
黑野猪8	46	BlackBoar	crystalm2
神兽0	79	Shinsu	crystalm2
尸王	74	Ghoul	crystalm2
尸王8	74	Ghoul	crystalm2
牛魔侍卫	97	WindMinotaur	proposed
牛魔侍卫0	97	WindMinotaur	proposed
牛魔侍卫8	97	WindMinotaur	proposed
牛魔斗士	96	ElectricMinotaur	proposed
牛魔斗士0	96	ElectricMinotaur	proposed
牛魔法师	99		appr-run:173..177->94..98 连号外推，图为持杖蓝袍牛魔
牛魔法师0	99		appr-run:同 牛魔法师
牛魔法师8	99		appr-run:同 牛魔法师
祖玛弓箭手	64	ZumaArcher	crystalm2
祖玛弓箭手0	64	ZumaArcher	crystalm2
祖玛弓箭手3	64	ZumaArcher	crystalm2
祖玛弓箭手8	64	ZumaArcher	crystalm2
祖玛弓箭手83	64	ZumaArcher	crystalm2
红野猪3	45	RedBoar	crystalm2
蝎蛇3	47	SnakeScorpion	crystalm2
骷髅精灵	26	BoneElite	crystalm2
骷髅精灵8	26	BoneElite	crystalm2
黑野猪3	46	BlackBoar	crystalm2
祖玛雕像	65	ZumaStatue	crystalm2
祖玛雕像0	65	ZumaStatue	crystalm2
祖玛雕像3	65	ZumaStatue	crystalm2
祖玛雕像8	65	ZumaStatue	crystalm2
祖玛雕像83	65	ZumaStatue	crystalm2
天狼蜘蛛	53	VenomSpider	crystalm2
天狼蜘蛛0	53	VenomSpider	crystalm2
天狼蜘蛛8	53	VenomSpider	crystalm2
暴牙蜘蛛	54		appr:钢牙蜘蛛
暴牙蜘蛛0	54		appr:钢牙蜘蛛
祖玛卫士	66	ZumaGuardian	crystalm2
祖玛卫士0	66	ZumaGuardian	crystalm2
祖玛卫士3	66	ZumaGuardian	crystalm2
祖玛卫士8	66	ZumaGuardian	crystalm2
祖玛卫士83	66	ZumaGuardian	crystalm2
神兽2	79	Shinsu	crystalm2
牛魔将军	98	FireMinotaur	proposed
牛魔将军0	98	FireMinotaur	proposed
牛魔将军8	98	FireMinotaur	proposed
牛魔祭司	100		appr-run:同段外推 179->100，图为华服持杖牛魔
牛魔祭司0	100		appr-run:同 牛魔祭司
牛魔祭司8	100		appr-run:同 牛魔祭司
蜘蛛雷	51		appr:幻影蜘蛛
蜘蛛雷0	51		appr:幻影蜘蛛
血僵尸	57		appr:血巨人
血僵尸0	57		appr:血巨人
血僵尸8	57		appr:血巨人
剧毒蜘蛛	12		appr:毒蜘蛛
半兽勇士1	18	OmaWarrior	crystalm2
半兽勇士2	18	OmaWarrior	crystalm2
半兽统领	126	OmaKing	proposed
半兽统领9	126	OmaKing	proposed
双头金刚	59	GrayEvilApe	crystalm2
双头金刚8	59	GrayEvilApe	crystalm2
双头金刚80	59	GrayEvilApe	crystalm2
双头金刚9	59	GrayEvilApe	crystalm2
变异史莱姆	36		appr:巨型蠕虫
变异史莱姆8	36		appr:巨型蠕虫
变异骷髅0	78	BoneFamiliar	crystalm2
地狱犬	148	DarkBrownWolf	proposed
夕	33		appr:沃玛卫士
夕0	33		appr:沃玛卫士
多钩猫王	6	HookingCat	derived:多钩猫
多钩猫王8	6	HookingCat	derived:多钩猫
尸王1	74	Ghoul	crystalm2
尸王2	74	Ghoul	crystalm2
楔蛾王	44	WedgeMoth	derived:楔蛾
沃玛卫士	33	WoomaGuardian	crystalm2
沃玛卫士1	33	WoomaGuardian	crystalm2
沃玛卫士2	33	WoomaGuardian	crystalm2
沃玛卫士8	33	WoomaGuardian	crystalm2
电僵王	73		appr:僵尸1
电僵王8	73		appr:僵尸1
白野猪	48	WhiteBoar	crystalm2
白野猪0	48	WhiteBoar	crystalm2
白野猪1	48	WhiteBoar	crystalm2
白野猪300	48	WhiteBoar	crystalm2
白野猪8	48	WhiteBoar	crystalm2
白野猪80	48	WhiteBoar	crystalm2
祖玛卫士00	66	ZumaGuardian	crystalm2
祖玛卫士80	66	ZumaGuardian	crystalm2
神鹰	108		appr:猎鹰
稻草人1	5	Scarecrow	crystalm2
红蛇王	111	RedSnake	derived:红蛇
虎蛇王	112	TigerSnake	derived:虎蛇
蛤蟆王	8	Yob	derived:蛤蟆
蜈蚣王	37	Centipede	derived:蜈蚣
蝎子王	21	Scorpion	derived:蝎子
邪恶毒蛇	49	EvilSnake	crystalm2
邪恶毒蛇1	49	EvilSnake	crystalm2
邪恶毒蛇8	49	EvilSnake	crystalm2
钉耙猫王	7	RakingCat	derived:钉耙猫
雪人王	11		appr:森林雪人
雪球3	231		visual:同 雪球
雪蚕王	20		appr:洞蛆
骷髅精灵1	26	BoneElite	crystalm2
骷髅精灵2	26	BoneElite	crystalm2
骷髅精灵9	26	BoneElite	crystalm2
鹿1	4	Deer	crystalm2
黄泉教主			unresolved
黄泉教主8			unresolved
月魔蜘蛛	52	SpiderBat	crystalm2
月魔蜘蛛0	52	SpiderBat	crystalm2
月魔蜘蛛8	52	SpiderBat	crystalm2
爆裂蜘蛛	206	CrackingWeaver	crystalm2
爆裂蜘蛛0	206	CrackingWeaver	crystalm2
幻影蜘蛛	51	RootSpider	crystalm2
钢牙蜘蛛	54	GangSpider	crystalm2
钢牙蜘蛛0	54	GangSpider	crystalm2
钢牙蜘蛛8	54	GangSpider	crystalm2
黑锷蜘蛛	55	GreatSpider	crystalm2
黑锷蜘蛛0	55	GreatSpider	crystalm2
黑锷蜘蛛8	55	GreatSpider	crystalm2
花吻蜘蛛	56	LureSpider	crystalm2
花吻蜘蛛0	56	LureSpider	crystalm2
花吻蜘蛛8	56	LureSpider	crystalm2
双头血魔	60	RedEvilApe	crystalm2
双头血魔8	60	RedEvilApe	crystalm2
双头血魔80	60	RedEvilApe	crystalm2
双头血魔9	60	RedEvilApe	crystalm2
暗之触龙神			unresolved
暗之触龙神8			unresolved
灰血恶魔	59		appr:双头金刚
石墓尸王	93	BoneLord	proposed
石墓尸王8	93	BoneLord	proposed
血巨人	57	BigApe	crystalm2
血巨人0	57	BigApe	crystalm2
血巨人8	57	BigApe	crystalm2
赤血恶魔	60		appr:双头血魔
飞火流星1	149		visual:同 Appr74 的足球用 149，流星是球形
飞火流星2	149		visual:同上
血金刚	58		appr-run:血巨人115->57 外推 116->58，图为灰色巨猿
千年树妖	353		visual:ManTree，一棵会走的老树
圣域侍卫	97	WindMinotaur	derived:牛魔侍卫:weak
圣域修罗			unresolved
圣域冥狼	148		visual:同 Appr70 的地狱犬用 148 深色狼，冥狼取深色
圣域刀斧手	91	BoneBlademan	derived:骷髅刀斧手:weak
圣域力士	57		appr:血巨人
圣域勇士	18		visual:圣域版半兽勇士，沿用半兽勇士的 18
圣域卫士	0	Guard	derived:卫士
圣域多钩猫	6	HookingCat	derived:多钩猫
圣域天狼	53	VenomSpider	derived:天狼蜘蛛:weak
圣域将军	98	FireMinotaur	derived:牛魔将军:weak
圣域尸王	74	Ghoul	derived:尸王
圣域巨虫	107		appr:巨型多角虫
圣域弓箭手	139	ArcherGuard	derived:弓箭手
圣域护法	33		appr:沃玛卫士
圣域教主	34		appr:暗之沃玛教主
圣域月魔	52	SpiderBat	derived:月魔蜘蛛:weak
圣域杀手	385		appr:暗黑战士
圣域楔蛾	44	WedgeMoth	derived:楔蛾
圣域炎兽	80		visual:79 是散开的火焰形态，80 是实体角兽，炎兽取兽形
圣域牛魔	94		appr:牛头魔
圣域牛魔王	101	MinotaurKing	derived:牛魔王
圣域猪卫	76	KingHog	derived:虹魔猪卫:weak
圣域神鹰	108		appr:猎鹰
圣域神龙			unresolved
圣域祭司	100		appr-run:与牛魔祭司同 Appr179
圣域稻草人	5	Scarecrow	derived:稻草人
圣域精灵	26	BoneElite	derived:骷髅精灵:weak
圣域花吻	56	LureSpider	derived:花吻蜘蛛:weak
圣域蛇王	49		appr:邪恶毒蛇
圣域蝎卫	75	KingScorpion	derived:虹魔蝎卫:weak
圣域蝙蝠	19	CaveBat	derived:蝙蝠
圣域血魔	60	RedEvilApe	derived:双头血魔:weak
圣域金刚	59	GrayEvilApe	derived:双头金刚:weak
圣域钳虫	39	Tongs	derived:钳虫
圣域雕像	65	ZumaStatue	derived:祖玛雕像:weak
圣域骷髅	22	Skeleton	derived:骷髅
圣域魔蝎	75	KingScorpion	derived:虹魔蝎卫:weak
圣域魔魂			unresolved
宝扇使者1	101		appr:圣域牛魔王
宝扇使者2	101		appr:圣域牛魔王
宝扇使者3	101		appr:圣域牛魔王
宝扇使者4	101		appr:圣域牛魔王
宝扇使者5	101		appr:圣域牛魔王
宝扇使者6	101		appr:圣域牛魔王
宝扇使者7	101		appr:圣域牛魔王
暗之双头血魔	60	RedEvilApe	derived:双头血魔
暗之双头金刚	59	GrayEvilApe	derived:双头金刚
暗之沃玛教主	34	WoomaTaurus	crystalm2
暗之牛魔王	101	MinotaurKing	derived:牛魔王
暗之牛魔王8	101	MinotaurKing	derived:牛魔王
暗之虹魔教主			unresolved
暗之骷髅精灵	26	BoneElite	derived:骷髅精灵
暗之黄泉教主			unresolved
沃玛教主	34	WoomaTaurus	crystalm2
沃玛教主1	34	WoomaTaurus	crystalm2
沃玛教主9	34	WoomaTaurus	crystalm2
牛魔王	101	MinotaurKing	proposed
牛魔王8	101	MinotaurKing	proposed
祖玛教主	68	ZumaTaurus	crystalm2
祖玛教主9	68	ZumaTaurus	crystalm2
虹魔教主			unresolved
虹魔教主0			unresolved
虹魔教主8			unresolved
虹魔猪卫	76	KingHog	crystalm2
虹魔猪卫0	76	KingHog	crystalm2
虹魔猪卫8	76	KingHog	crystalm2
虹魔猪卫80	76	KingHog	crystalm2
虹魔猪卫9	76	KingHog	crystalm2
虹魔蝎卫	75	KingScorpion	crystalm2
虹魔蝎卫0	75	KingScorpion	crystalm2
虹魔蝎卫8	75	KingScorpion	crystalm2
虹魔蝎卫80	75	KingScorpion	crystalm2
触龙神			unresolved
触龙神8			unresolved
赤月恶魔	62	RedMoonEvil	crystalm2
赤月恶魔1	62	RedMoonEvil	crystalm2
赤月恶魔8	62	RedMoonEvil	crystalm2
赤月恶魔9	62	RedMoonEvil	crystalm2
邪恶钳虫	40	EvilTongs	crystalm2
邪恶钳虫1	40	EvilTongs	crystalm2
邪恶钳虫2	40	EvilTongs	crystalm2
邪恶钳虫8	40	EvilTongs	crystalm2
邪恶钳虫9	40	EvilTongs	crystalm2
重装使者	34		appr:暗之沃玛教主
雪球4	231		visual:同 雪球
黄泉教主0			unresolved
SabukDoor	950	SabukGate	proposed
SabukW1	957	SSabukWall1	proposed
SabukW2	958	SSabukWall2	proposed
SabukW3	959	SSabukWall3	proposed
卫士	0	Guard	crystalm2
带刀护卫	1	TaoistGuard	crystalm2
带刀护卫1	1	TaoistGuard	crystalm2
弓箭守卫	378	ArcherGuard3	crystalm2
弓箭手	139	ArcherGuard	proposed
恶魔卫士	66	ZumaGuardian	crystalm2
恶魔弓箭手	64	ZumaArcher	crystalm2
护卫	123	OmaGuard	crystalm2
练功师	140	KatanaGuard	crystalm2
